GameDate,HomeTeam,AwayTeam,OpeningHomeMoneyLine,OpeningAwayMoneyLine
2025-04-05,PHI,NYY,66,-78,0.5,-86,72,3.0,-70,58
2025-04-05,BOS,BAL,79,-94,0.5,-65,-63,3.2,-67,-61
2025-04-05,TEX,TOR,-67,-61,0.5,-126,104,2.7,-61,-67
2025-04-05,MIL,MIA,-78,66,-0.9,93,-111,2.5,-67,-61
2025-04-05,COL,SEA,-150,122,-0.9,-75,64,3.0,59,-71
2025-04-06,WSH,LAD,205,-246,2.8,-157,-143,10.2,-157,-143
2025-04-06,ATL,NYY,150,-177,2.8,-211,177,13.0,-166,139
2025-04-06,BOS,CHW,194,-232,2.8,-150,-150,11.6,-161,-139
2025-04-06,NYM,BAL,-252,210,-2.0,155,-184,10.2,-147,-153
2025-04-06,MIL,HOU,-157,-143,2.8,-252,210,10.9,-139,-161
2025-04-06,CHC,TB,-157,-143,2.8,-246,205,11.6,-153,-147
2025-04-06,COL,SEA,-153,-147,2.8,-252,210,10.9,-147,-153
2025-04-06,LAA,STL,-161,-139,2.8,-270,224,13.0,-170,143
2025-04-07,DET,STL,80,-96,0.6,-84,71,3.6,-70,-72
2025-04-07,WSH,TOR,-68,-74,0.6,-107,91,3.6,-66,-76
2025-04-07,NYM,MIN,-84,71,-1.0,100,-120,3.3,-74,-68
2025-04-07,CHC,BAL,-78,65,0.6,-128,106,3.3,-66,-76
2025-04-07,SEA,CIN,-81,68,-1.0,104,-124,3.6,-68,-74
